Country,Year,Region,Happiness Score,GDP per Capita,Social Support,Life Expectancy,Freedom,Generosity,Corruption
Afghanistan,2008,South Asia,3.7239999999999998,7.37,0.451,50.8,0.718,0.168,0.882
Afghanistan,2009,South Asia,4.402,7.54,0.552,51.2,0.679,0.19,0.85
Afghanistan,2010,South Asia,4.758,7.647,0.539,51.6,0.6,0.121,0.7070000000000001
Afghanistan,2011,South Asia,3.832,7.62,0.521,51.92,0.496,0.162,0.731
Afghanistan,2012,South Asia,3.783,7.705,0.521,52.24,0.531,0.23600000000000002,0.7759999999999999
Afghanistan,2013,South Asia,3.572,7.725,0.484,52.56,0.578,0.061,0.823
Afghanistan,2014,South Asia,3.1310000000000002,7.718,0.526,52.88,0.509,0.10400000000000001,0.871
Afghanistan,2015,South Asia,3.983,7.702000000000001,0.529,53.2,0.389,0.08,0.8809999999999999
Afghanistan,2016,South Asia,4.22,7.697,0.5589999999999999,53.0,0.523,0.042,0.7929999999999999
Afghanistan,2017,South Asia,2.662,7.697,0.491,52.8,0.42700000000000005,-0.121,0.9540000000000001
Afghanistan,2018,South Asia,2.694,7.692,0.508,52.6,0.374,-0.094,0.9279999999999999
Afghanistan,2019,South Asia,2.375,7.697,0.42,52.4,0.39399999999999996,-0.10800000000000001,0.924
Afghanistan,2021,South Asia,2.523,7.695,0.46299999999999997,52.493,0.382,-0.102,0.924
