Country,Year,Region,Happiness Score,GDP per Capita,Social Support,Life Expectancy,Freedom,Generosity,Corruption
Australia,2005,North America and ANZ,7.341,10.659,0.968,71.4,0.935,,0.39
Australia,2007,North America and ANZ,7.285,10.703,0.965,71.72,0.8909999999999999,0.34700000000000003,0.513
Australia,2008,North America and ANZ,7.254,10.719000000000001,0.9470000000000001,71.88,0.9159999999999999,0.305,0.431
Australia,2010,North America and ANZ,7.45,10.722000000000001,0.955,72.2,0.932,0.317,0.366
Australia,2011,North America and ANZ,7.406000000000001,10.732999999999999,0.9670000000000001,72.3,0.945,0.369,0.382
Australia,2012,North America and ANZ,7.196000000000001,10.754000000000001,0.945,72.4,0.935,0.27399999999999997,0.368
Australia,2013,North America and ANZ,7.364,10.762,0.9279999999999999,72.5,0.9329999999999999,0.26899999999999996,0.43200000000000005
Australia,2014,North America and ANZ,7.289,10.772,0.924,72.6,0.9229999999999999,0.319,0.442
Australia,2015,North America and ANZ,7.309,10.779000000000002,0.9520000000000001,72.7,0.922,0.332,0.35700000000000004
Australia,2016,North America and ANZ,7.25,10.790999999999999,0.9420000000000001,73.0,0.922,0.239,0.39899999999999997
Australia,2017,North America and ANZ,7.257000000000001,10.798,0.95,73.3,0.9109999999999999,0.317,0.41100000000000003
Australia,2018,North America and ANZ,7.1770000000000005,10.811,0.94,73.6,0.9159999999999999,0.146,0.405
Australia,2019,North America and ANZ,7.234,10.815,0.943,73.9,0.9179999999999999,0.121,0.43
Australia,2020,North America and ANZ,7.1370000000000005,10.76,0.937,74.2,0.905,0.21,0.491
Australia,2021,North America and ANZ,7.183,10.796,0.94,73.9,0.914,0.159,0.442
