Country,Region,Happiness Score,Alpha-3 code,Average Temp,Average Rainfall,Sunlight
Finland,Western Europe,7.8420000000000005,FIN,2.402187596153846,46.89010253205127,1858.0
Denmark,Western Europe,7.62,DNK,8.67821326923077,61.730039871794865,1739.0
Switzerland,Western Europe,7.571000000000001,CHE,6.713588108974354,127.1149783653846,1566.0
Iceland,Western Europe,7.553999999999999,ISL,2.307253397435898,92.3392455128205,1326.0
Netherlands,Western Europe,7.4639999999999995,NLD,10.3164016025641,66.78641099358973,1662.0
Norway,Western Europe,7.392,NOR,1.7268597756410258,90.3362798076923,1668.0
Sweden,Western Europe,7.3629999999999995,SWE,2.5377217307692312,56.04342371794871,1871.5
Luxembourg,Western Europe,7.324,LUX,9.932402371794872,78.70049942307696,
New Zealand,North America and ANZ,7.277,NZL,10.022857884615389,142.96394487179487,2044.0
Austria,Western Europe,7.268,AUT,7.202214903846159,98.31900945512822,1884.0
Australia,North America and ANZ,7.183,AUS,21.966571474358954,40.40741637820513,2754.05
Israel,Middle East and North Africa,7.157,ISR,20.264817660256394,20.3376278205128,3311.0
Germany,Western Europe,7.155,DEU,9.429345384615388,60.15111080128203,1644.0
Canada,North America and ANZ,7.103,CAN,-5.963873782051283,38.67237852564102,2028.044444
Ireland,Western Europe,7.085,IRL,9.640843589743582,98.02790506410257,1453.0
Costa Rica,Latin America and Caribbean,7.069,CRI,24.92141442307693,243.6692137820511,
United Kingdom,Western Europe,7.064,GBR,9.062469455128204,103.63802051282057,1530.0
Czech Republic,Central and Eastern Europe,6.965,CZE,8.7562144551282,56.57416423076927,1668.0
United States,North America and ANZ,6.9510000000000005,USA,7.616999647435898,55.887762499999994,2818.255556
Belgium,Western Europe,6.834,BEL,10.573462051282055,72.6691253205128,1546.0
France,Western Europe,6.69,FRA,11.541326089743588,70.20377467948713,2249.0
Bahrain,Middle East and North Africa,6.647,BHR,27.914510576923078,5.931829166666668,
Malta,Western Europe,6.602,MLT,19.50353653846156,35.15894160256409,3054.0
Taiwan Province of China,East Asia,6.584,TWN,,,
United Arab Emirates,Middle East and North Africa,6.561,ARE,27.55765032051284,4.720580512820505,3508.7
Saudi Arabia,Middle East and North Africa,6.494,SAU,25.509700320512838,5.860535641025643,3236.5
Spain,Western Europe,6.4910000000000005,ESP,13.903968012820519,49.68400214743592,2755.333333
Italy,Western Europe,6.483,ITA,12.626380416666668,76.35498878205125,2194.0
Slovenia,Central and Eastern Europe,6.461,SVN,9.677380512820514,111.90276471153854,1974.0
Guatemala,Latin America and Caribbean,6.435,GTM,23.932170833333355,220.17835689102577,
Uruguay,Latin America and Caribbean,6.431,URY,17.941855128205134,110.68261185897438,2481.4
Singapore,Southeast Asia,6.377000000000001,SGP,27.805358333333334,209.62551160256407,2022.4
Kosovo,Central and Eastern Europe,6.372000000000001,,,,
Slovakia,Central and Eastern Europe,6.331,SVK,8.452958685897435,63.66602628205125,2038.0
Brazil,Latin America and Caribbean,6.33,BRA,25.504851923076924,147.689798076923,2204.3
Mexico,Latin America and Caribbean,6.317,MEX,21.18582435897435,62.2150616666667,2596.25
Jamaica,Latin America and Caribbean,6.309,JAM,25.664704166666652,176.24448246794876,
Lithuania,Central and Eastern Europe,6.255,LTU,7.280419230769234,55.264629935897425,1588.0
Cyprus,Western Europe,6.223,CYP,19.471158974358982,37.82776528846155,3314.1
Estonia,Central and Eastern Europe,6.189,EST,6.166056153846154,55.744265961538495,1826.0
Panama,Latin America and Caribbean,6.18,PAN,25.569502564102553,210.83817724358966,1743.5
Uzbekistan,Commonwealth of Independent States,6.178999999999999,UZB,13.158793173076916,17.544707596153838,2823.9
Chile,Latin America and Caribbean,6.172000000000001,CHL,8.454477692307682,50.7281451923077,2648.54
Poland,Central and Eastern Europe,6.166,POL,8.667609711538464,50.62085637820512,1571.0
Kazakhstan,Commonwealth of Independent States,6.152,KAZ,6.810408141025637,21.77255298076925,2431.5
Romania,Central and Eastern Europe,6.14,ROU,9.690750032051291,55.28317583333332,2115.0
Kuwait,Middle East and North Africa,6.106,KWT,26.089605448717936,9.82411596153847,
Serbia,Central and Eastern Europe,6.077999999999999,SRB,11.050395160256402,63.15389820512821,2112.0
El Salvador,Latin America and Caribbean,6.061,SLV,24.371996474358962,151.27712679487175,2957.0
Mauritius,Sub-Saharan Africa,6.0489999999999995,MUS,23.26766858974359,146.23983365384615,
Latvia,Central and Eastern Europe,6.032,LVA,6.696891314102561,55.69609227564106,1754.0
Colombia,Latin America and Caribbean,6.0120000000000005,COL,24.734348717948706,221.06996891025645,1589.683333
Hungary,Central and Eastern Europe,5.992000000000001,HUN,10.876786602564101,52.133547339743615,1988.0
Thailand,Southeast Asia,5.985,THA,26.711208012820528,130.2134677564103,2175.025
Nicaragua,Latin America and Caribbean,5.972,NIC,25.23340064102563,189.5484709615385,2759.9
Japan,East Asia,5.94,JPN,11.338797211538466,136.2051695512821,1808.55
Argentina,Latin America and Caribbean,5.928999999999999,ARG,14.56888060897435,48.7446361217949,2240.325
Portugal,Western Europe,5.928999999999999,PRT,15.476960512820519,69.05979977564107,2806.0
Honduras,Latin America and Caribbean,5.919,HND,24.014011217948692,160.97683756410248,2259.8
Croatia,Central and Eastern Europe,5.882000000000001,HRV,11.445104134615388,89.79589846153841,1913.0
Philippines,Southeast Asia,5.88,PHL,25.912753205128194,210.87741698717946,2103.1
South Korea,East Asia,5.845,KOR,11.479109935897439,116.13743060897431,2196.65
Peru,Latin America and Caribbean,5.84,PER,19.755111538461545,130.10639326923086,2013.3333329999998
